branch,avg_monthly_revenue,recent_growth_rate,revenue_volatility,avg_order_value,delivery_share,revenue_per_hour,norm_growth,norm_revenue,norm_volatility,norm_avg_order,norm_delivery,norm_ops_eff,stability,feasibility_score,score_tier,top_drivers
jnah,1137869256.046,2.3126191699467267,0.8753116576541431,2771840.9542857143,0.05518529323149362,7489874.711501372,0.8628432594060548,0.6536410299281116,0.7904474722394494,0.5,1.0,1.0,0.20955252776055056,0.6787,High,"growth, revenue"
batroun,1328045342.5875,2.721614145524447,0.9361726550426773,2771840.9542857143,0.01143278826264897,3999551.8002325217,1.0,1.0,1.0,0.5,0.15162557689786724,0.0,0.0,0.6402,Medium,"growth, revenue"
tyre,1035377151.15,0.8586566607130017,0.6486402934982826,3035409.975714286,0.0036131291286898705,5529728.516151429,0.37525595242116444,0.46697686758332624,0.009987746504797064,1.0,0.0,0.438405487062123,0.9900122534952029,0.5497,Medium,"avg_order, stability"
bliss,778973128.572,-0.26033901118227804,0.6457395209786574,2508271.9328571428,0.01143278826264897,5529728.516151429,0.0,0.0,0.0,0.0,0.15162557689786724,0.438405487062123,1.0,0.1871,Low,"stability, ops_eff"
