branch,avg_monthly_revenue,recent_growth_rate,revenue_volatility,pct_change_first_last,n_months,is_partial_history,orders_count,avg_order_value,total_customer_revenue,delivery_revenue,delivery_order_count,delivery_share,total_hours,revenue_per_hour,total_tax,tax_burden
batroun,1328045342.5875,2.721614145524447,0.9361726550426773,20.07900950033061,4,True,,,,60733044.82,14.0,0.01143278826264897,1328.1941666666667,3999551.8002325217,579893871.34,0.1091630407381578
bliss,778973128.572,-0.26033901118227804,0.6457395209786574,-0.8774759013627536,5,True,161.0,2508271.9328571428,403831781.19,,,,,,427048534.35,0.10964397068044131
jnah,1137869256.046,2.3126191699467267,0.8753116576541431,6.9171178073202455,5,True,,,,313968242.77,97.0,0.05518529323149362,759.605,7489874.711501372,623597658.93,0.10960796341346798
tyre,1035377151.15,0.8586566607130017,0.6486402934982826,1.1447746483468273,5,True,21.0,3035409.975714286,63743609.49,18704756.72,9.0,0.0036131291286898705,936.1916666666666,5529728.516151429,563134562.83,0.10877863437579685
