branch,avg_sales_total_customers,avg_sales_delivery_customers,avg_sales_delivery_share,delivery_customer_profiles,delivery_num_orders,observed_profile_share,share_source,confidence,note,recent_revenue_month,recent_revenue,recent_revenue_share_staffed_branches,overlap_proxy_order_share,sales_to_proxy_gap_ratio,sales_calibration_multiplier,delivery_share_low,delivery_share_base,delivery_share_high,multiplier_low_demand,multiplier_base_demand,multiplier_high_demand
Conut - Tyre,3117.0,79.0,0.025345,89,94,0.02855309592556946,avg_sales_menu_delivery_share,high,,2025-12-01,1024205946.3,0.146806,0.103604,1.417,1.0,0.020276,0.025345,0.030414,32.8796,39.4555,49.3194
Conut Jnah,5045.0,0.0,0.0,245,293,0.048562933597621406,customer_orders_profile_share,low,delivery share inferred because avg_sales_menu has no delivery row,2025-12-01,2878191130.49,0.412548,0.864865,0.477,1.0,0.024281,0.048563,0.072844,13.7279,20.5918,41.1837
Main Street Coffee,3640.0,0.0,0.0,14,21,0.005,customer_orders_profile_share,low,delivery share inferred because avg_sales_menu has no delivery row; sales uplift applied for underrepresented proxy demand,2025-12-01,3074216293.59,0.440646,0.031532,13.9748,3.5,0.005,0.005,0.0075,466.6667,700.0,700.0
