branch,demand_confidence,share_source,analysis_slots,understaffed_slots,balanced_slots,overstaffed_slots,avg_active_employees_across_slots,avg_required_employees_base,worst_understaffed_slot,worst_understaffed_gap,worst_overstaffed_slot,worst_overstaffed_gap,top_understaffed_slots,top_overstaffed_slots,recommendation
Conut - Tyre,high,avg_sales_menu_delivery_share,96,7,42,47,2.1,1.41,Friday 23:00,2.75,Sunday 15:00,-2.5,Friday 23:00 (gap 2.75); Saturday 21:00 (gap 2.25); Friday 19:00 (gap 2.00),Sunday 15:00 (gap -2.50); Sunday 16:00 (gap -2.50); Saturday 17:00 (gap -2.25),Increase staffing around the highest-gap slots before widening other shifts.
Conut Jnah,low,customer_orders_profile_share,111,33,63,15,1.5,2.11,Monday 21:00,5.0,Friday 13:00,-1.33,Monday 21:00 (gap 5.00); Tuesday 22:00 (gap 4.75); Friday 18:00 (gap 4.75),Friday 13:00 (gap -1.33); Thursday 13:00 (gap -1.33); Sunday 14:00 (gap -1.25),Increase staffing around the highest-gap slots before widening other shifts.
Main Street Coffee,low,customer_orders_profile_share,132,65,60,7,1.98,2.75,Sunday 23:00,12.5,Saturday 16:00,-1.75,Sunday 23:00 (gap 12.50); Sunday 18:00 (gap 12.25); Sunday 17:00 (gap 12.25),Saturday 16:00 (gap -1.75); Friday 16:00 (gap -1.50); Sunday 16:00 (gap -1.50),Increase staffing around the highest-gap slots before widening other shifts.
