canonical_item_name,division,group,category,modifier_flag,beverage_flag
"GRANOLA BERRIES ,(P)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,core_food,False,False
GRANOLA BERRIES .(P),FREE MINI TOP,FREE MINI TOP,core_food,False,False
GRANOLA BERRIES MILKSHAKE,Shakes,Shakes,milkshake,False,True
"GRANOLA BERRIES, (P)",FREE CONUT TOP,FREE CONUT TOP,core_food,False,False
GRANOLA BERRIES.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
GREEN TEA,Hot and Cold Drinks,TEA FLAVORS,other_beverage,False,True
GUMMY BEARS (R),MINI/CONUT/BOWL TOPPINGS,MINI/CONUT/BOWL TOPPINGS,core_food,False,False
"GUMMY BEARS ,(R)",FREE CHIMNEY TOP,FREE CHIMNEY TOP,modifier,True,False
GUMMY BEARS . (R),FREE CONUT TOP,FREE CONUT TOP,modifier,True,False
"GUMMY BEARS,(R)",FREE MINI TOP,FREE MINI TOP,modifier,True,False
GUMMY BEARS.,CHIMNEY TOPPINGS,CHIMNEY TOPPINGS,core_food,False,False
HAZELNUT FRAPPE,Frappes,Frappes,coffee_cold,False,True
HAZELNUT MOCHA FRAPPE,Frappes,Frappes,coffee_cold,False,True
HAZELNUT SYRUP,Bev Add-ons,Bev Add-ons,core_food,False,False
HOT,DRINK TYPE,DRINK TYPE,other_beverage,True,True
HOT CHOCOLATE,CONUT''S FAVORITE,CONUT''S FAVORITE,core_food,False,False
